dataset,algorithm,fold,n_train,n_test,train_pos_rate,test_pos_rate,fit_seconds,roc_auc,pr_auc,brier,ece,precision_at_05,recall_at_05,f1_at_05,balanced_accuracy_at_05
portugal,Dummy,1,107288,11921,0.3707683990753859,0.3707742639040349,0.014606600045226514,0.5,0.3707742639040349,0.3707742639040349,0.3707742639040349,0.0,0.0,0.0,0.5
portugal,Dummy,2,107288,11921,0.3707683990753859,0.3707742639040349,0.006054700003005564,0.5,0.3707742639040349,0.3707742639040349,0.3707742639040349,0.0,0.0,0.0,0.5
portugal,Dummy,3,107288,11921,0.3707683990753859,0.3707742639040349,0.007451999990735203,0.5,0.3707742639040349,0.3707742639040349,0.3707742639040349,0.0,0.0,0.0,0.5
portugal,Dummy,4,107288,11921,0.3707683990753859,0.3707742639040349,0.01185869995970279,0.5,0.3707742639040349,0.3707742639040349,0.3707742639040349,0.0,0.0,0.0,0.5
portugal,Dummy,5,107288,11921,0.3707683990753859,0.3707742639040349,0.008399499987717718,0.5,0.3707742639040349,0.3707742639040349,0.3707742639040349,0.0,0.0,0.0,0.5
portugal,Dummy,6,107288,11921,0.3707683990753859,0.3707742639040349,0.01270909997401759,0.5,0.3707742639040349,0.3707742639040349,0.3707742639040349,0.0,0.0,0.0,0.5
portugal,Dummy,7,107288,11921,0.3707683990753859,0.3707742639040349,0.0064341999823227525,0.5,0.3707742639040349,0.3707742639040349,0.3707742639040349,0.0,0.0,0.0,0.5
portugal,Dummy,8,107288,11921,0.3707683990753859,0.3707742639040349,0.028256399964448065,0.5,0.3707742639040349,0.3707742639040349,0.3707742639040349,0.0,0.0,0.0,0.5
portugal,Dummy,9,107288,11921,0.3707683990753859,0.3707742639040349,0.00642719998722896,0.5,0.3707742639040349,0.3707742639040349,0.3707742639040349,0.0,0.0,0.0,0.5
portugal,Dummy,10,107289,11920,0.3707742639040349,0.3707214765100671,0.005846599990036339,0.5,0.3707214765100671,0.3707214765100671,0.3707214765100671,0.0,0.0,0.0,0.5
portugal,LogisticRegression,1,107288,11921,0.3707683990753859,0.3707742639040349,73.7201681000297,0.8985717288976854,0.8569917399228034,0.12186207229151672,0.02162164476454426,0.8057248873575404,0.6877828054298643,0.7420969119980471,0.7950312507351961
