dataset,algorithm,fold,n_train,n_test,train_pos_rate,test_pos_rate,fit_seconds,roc_auc,pr_auc,brier,ece,precision_at_05,recall_at_05,f1_at_05,balanced_accuracy_at_05
philippine,Dummy,1,173,20,0.15028901734104047,0.15,0.0008862999966368079,0.5,0.15,0.15,0.15,0.0,0.0,0.0,0.5
philippine,Dummy,2,173,20,0.15028901734104047,0.15,0.0008351000142283738,0.5,0.15,0.15,0.15,0.0,0.0,0.0,0.5
philippine,Dummy,3,173,20,0.15028901734104047,0.15,0.0005817000055685639,0.5,0.15,0.15,0.15,0.0,0.0,0.0,0.5
philippine,Dummy,4,174,19,0.15517241379310345,0.10526315789473684,0.0011035000206902623,0.5,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.5
philippine,Dummy,5,174,19,0.14942528735632185,0.15789473684210525,0.0011460999958217144,0.5,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.5
philippine,Dummy,6,174,19,0.14942528735632185,0.15789473684210525,0.0012983999913558364,0.5,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.5
philippine,Dummy,7,174,19,0.14942528735632185,0.15789473684210525,0.0011512000346556306,0.5,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.5
philippine,Dummy,8,174,19,0.14942528735632185,0.15789473684210525,0.0013138999929651618,0.5,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.5
philippine,Dummy,9,174,19,0.14942528735632185,0.15789473684210525,0.0011443999828770757,0.5,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.5
philippine,Dummy,10,174,19,0.14942528735632185,0.15789473684210525,0.0006745000137016177,0.5,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.5
philippine,LogisticRegression,1,173,20,0.15028901734104047,0.15,1.2918365999939851,0.8039215686274509,0.5535714285714286,0.09788683444006821,0.19058452451462377,1.0,0.3333333333333333,0.5,0.6666666666666666
philippine,LogisticRegression,2,173,20,0.15028901734104047,0.15,1.322541200031992,1.0,1.0,0.026700444432998665,0.12056539464286796,1.0,1.0,1.0,1.0
philippine,LogisticRegression,3,173,20,0.15028901734104047,0.15,1.084299199981615,0.9803921568627451,0.9166666666666665,0.07393735491907841,0.091089041751706,1.0,0.3333333333333333,0.5,0.6666666666666666
